condition,algorithm,snr_db,sample_id,error_m,est_x_m,est_y_m
5000Hz_3,MUSIC,0,bubble 03 5000Hz .wav,2.593915,1.777778,1.111111
5000Hz_3,MUSIC_CSDM,0,bubble 03 5000Hz .wav,3.083333,1.000000,0.083333
5000Hz_3,CBF,-5,bubble 03 5000Hz .wav,3.784308,2.888889,5.444444
5000Hz_3,MVDR,-5,bubble 03 5000Hz .wav,2.472378,0.027778,0.527778
5000Hz_3,MUSIC,-5,bubble 03 5000Hz .wav,3.543926,-1.972222,0.055556
5000Hz_3,MUSIC_CSDM,-5,bubble 03 5000Hz .wav,2.472378,0.027778,0.527778
5000Hz_3,CBF,-10,bubble 03 5000Hz .wav,2.534484,1.833333,1.250000
5000Hz_3,MVDR,-10,bubble 03 5000Hz .wav,2.082407,-0.333333,0.944444
5000Hz_3,MUSIC,-10,bubble 03 5000Hz .wav,1.854258,-0.277778,1.166667
5000Hz_3,MUSIC_CSDM,-10,bubble 03 5000Hz .wav,2.082407,-0.333333,0.944444
5000Hz_3,CBF,-15,bubble 03 5000Hz .wav,2.442234,-1.361111,0.972222
5000Hz_3,MVDR,-15,bubble 03 5000Hz .wav,1.229775,-0.388889,1.833333
5000Hz_3,MUSIC,-15,bubble 03 5000Hz .wav,2.648375,0.583333,5.583333
5000Hz_3,MUSIC_CSDM,-15,bubble 03 5000Hz .wav,1.229775,-0.388889,1.833333
5000Hz_3,CBF,-20,bubble 03 5000Hz .wav,1.277778,0.000000,1.722222
5000Hz_3,MVDR,-20,bubble 03 5000Hz .wav,2.491498,-1.277778,0.861111
5000Hz_3,MUSIC,-20,bubble 03 5000Hz .wav,1.732274,0.472222,1.333333
5000Hz_3,MUSIC_CSDM,-20,bubble 03 5000Hz .wav,2.491498,-1.277778,0.861111
5000Hz_3,CBF,clean,bubble 04 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,clean,bubble 04 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,clean,bubble 04 5000Hz .wav,1.571839,1.138889,1.916667
5000Hz_3,MUSIC_CSDM,clean,bubble 04 5000Hz .wav,0.527778,0.000000,2.472222
5000Hz_3,CBF,20,bubble 04 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,20,bubble 04 5000Hz .wav,0.168966,0.027778,2.833333
5000Hz_3,MUSIC,20,bubble 04 5000Hz .wav,2.718393,1.000000,0.472222
5000Hz_3,MUSIC_CSDM,20,bubble 04 5000Hz .wav,2.904073,-0.750000,0.194444
5000Hz_3,CBF,15,bubble 04 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,15,bubble 04 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,15,bubble 04 5000Hz .wav,3.051639,-1.750000,0.500000
5000Hz_3,MUSIC_CSDM,15,bubble 04 5000Hz .wav,2.200238,-1.583333,1.472222
5000Hz_3,CBF,10,bubble 04 5000Hz .wav,2.941823,0.555556,0.111111
5000Hz_3,MVDR,10,bubble 04 5000Hz .wav,0.279163,0.027778,2.722222
5000Hz_3,MUSIC,10,bubble 04 5000Hz .wav,2.765808,-1.527778,0.694444
5000Hz_3,MUSIC_CSDM,10,bubble 04 5000Hz .wav,1.590141,0.527778,1.500000
5000Hz_3,CBF,5,bubble 04 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,5,bubble 04 5000Hz .wav,0.141639,0.027778,2.861111
5000Hz_3,MUSIC,5,bubble 04 5000Hz .wav,1.942261,-0.555556,1.138889
5000Hz_3,MUSIC_CSDM,5,bubble 04 5000Hz .wav,2.519676,-0.611111,0.555556
5000Hz_3,CBF,0,bubble 04 5000Hz .wav,2.941823,0.555556,0.111111
5000Hz_3,MVDR,0,bubble 04 5000Hz .wav,1.728930,-0.694444,1.416667
5000Hz_3,MUSIC,0,bubble 04 5000Hz .wav,0.714164,0.694444,2.833333
5000Hz_3,MUSIC_CSDM,0,bubble 04 5000Hz .wav,1.728930,-0.694444,1.416667
5000Hz_3,CBF,-5,bubble 04 5000Hz .wav,1.733164,-0.638889,1.388889
5000Hz_3,MVDR,-5,bubble 04 5000Hz .wav,2.663916,-0.527778,0.388889
5000Hz_3,MUSIC,-5,bubble 04 5000Hz .wav,1.461438,-1.444444,2.777778
5000Hz_3,MUSIC_CSDM,-5,bubble 04 5000Hz .wav,2.663916,-0.527778,0.388889
5000Hz_3,CBF,-10,bubble 04 5000Hz .wav,0.334489,0.333333,2.972222
5000Hz_3,MVDR,-10,bubble 04 5000Hz .wav,2.109100,-0.472222,0.944444
5000Hz_3,MUSIC,-10,bubble 04 5000Hz .wav,2.995496,1.250000,0.277778
5000Hz_3,MUSIC_CSDM,-10,bubble 04 5000Hz .wav,2.109100,-0.472222,0.944444
5000Hz_3,CBF,-15,bubble 04 5000Hz .wav,3.274598,-1.777778,0.250000
5000Hz_3,MVDR,-15,bubble 04 5000Hz .wav,3.061610,0.611111,0.000000
5000Hz_3,MUSIC,-15,bubble 04 5000Hz .wav,1.513570,1.027778,1.888889
5000Hz_3,MUSIC_CSDM,-15,bubble 04 5000Hz .wav,3.061610,0.611111,0.000000
5000Hz_3,CBF,-20,bubble 04 5000Hz .wav,1.602949,-1.416667,2.250000
5000Hz_3,MVDR,-20,bubble 04 5000Hz .wav,2.477678,0.833333,0.666667
5000Hz_3,MUSIC,-20,bubble 04 5000Hz .wav,3.057070,-2.888889,4.000000
5000Hz_3,MUSIC_CSDM,-20,bubble 04 5000Hz .wav,2.477678,0.833333,0.666667
5000Hz_3,CBF,clean,bubble 05 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,clean,bubble 05 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,clean,bubble 05 5000Hz .wav,1.483708,1.166667,3.916667
5000Hz_3,MUSIC_CSDM,clean,bubble 05 5000Hz .wav,0.555556,0.000000,2.444444
5000Hz_3,CBF,20,bubble 05 5000Hz .wav,0.611111,0.000000,3.611111
5000Hz_3,MVDR,20,bubble 05 5000Hz .wav,0.168966,0.027778,2.833333
5000Hz_3,MUSIC,20,bubble 05 5000Hz .wav,2.277947,-0.027778,5.277778
5000Hz_3,MUSIC_CSDM,20,bubble 05 5000Hz .wav,1.853633,-0.916667,4.611111
5000Hz_3,CBF,15,bubble 05 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,15,bubble 05 5000Hz .wav,0.141639,0.027778,2.861111
5000Hz_3,MUSIC,15,bubble 05 5000Hz .wav,2.844341,-0.250000,5.833333
5000Hz_3,MUSIC_CSDM,15,bubble 05 5000Hz .wav,2.495675,0.722222,0.611111
5000Hz_3,CBF,10,bubble 05 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,10,bubble 05 5000Hz .wav,0.138889,0.000000,2.861111
5000Hz_3,MUSIC,10,bubble 05 5000Hz .wav,1.557786,1.333333,2.194444
5000Hz_3,MUSIC_CSDM,10,bubble 05 5000Hz .wav,1.147326,-0.138889,4.138889
5000Hz_3,CBF,5,bubble 05 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,5,bubble 05 5000Hz .wav,1.862976,-0.638889,1.250000
5000Hz_3,MUSIC,5,bubble 05 5000Hz .wav,1.055921,1.055556,3.027778
5000Hz_3,MUSIC_CSDM,5,bubble 05 5000Hz .wav,1.862976,-0.638889,1.250000
5000Hz_3,CBF,0,bubble 05 5000Hz .wav,1.932902,1.916667,3.250000
5000Hz_3,MVDR,0,bubble 05 5000Hz .wav,1.759016,-1.638889,3.638889
5000Hz_3,MUSIC,0,bubble 05 5000Hz .wav,2.553743,1.777778,1.166667
5000Hz_3,MUSIC_CSDM,0,bubble 05 5000Hz .wav,1.759016,-1.638889,3.638889
5000Hz_3,CBF,-5,bubble 05 5000Hz .wav,3.095197,-2.888889,1.888889
5000Hz_3,MVDR,-5,bubble 05 5000Hz .wav,2.583931,2.305556,1.833333
5000Hz_3,MUSIC,-5,bubble 05 5000Hz .wav,1.465919,-0.666667,1.694444
5000Hz_3,MUSIC_CSDM,-5,bubble 05 5000Hz .wav,2.583931,2.305556,1.833333
5000Hz_3,CBF,-10,bubble 05 5000Hz .wav,2.969105,0.555556,0.083333
5000Hz_3,MVDR,-10,bubble 05 5000Hz .wav,2.775833,0.861111,0.361111
5000Hz_3,MUSIC,-10,bubble 05 5000Hz .wav,1.941466,-1.083333,1.388889
5000Hz_3,MUSIC_CSDM,-10,bubble 05 5000Hz .wav,2.775833,0.861111,0.361111
5000Hz_3,CBF,-15,bubble 05 5000Hz .wav,2.919972,1.861111,0.750000
5000Hz_3,MVDR,-15,bubble 05 5000Hz .wav,2.349810,0.277778,0.666667
5000Hz_3,MUSIC,-15,bubble 05 5000Hz .wav,1.565445,-0.722222,1.611111
5000Hz_3,MUSIC_CSDM,-15,bubble 05 5000Hz .wav,2.349810,0.277778,0.666667
5000Hz_3,CBF,-20,bubble 05 5000Hz .wav,1.753524,-1.333333,1.861111
5000Hz_3,MVDR,-20,bubble 05 5000Hz .wav,2.870131,2.777778,2.277778
5000Hz_3,MUSIC,-20,bubble 05 5000Hz .wav,2.527930,-0.027778,0.472222
5000Hz_3,MUSIC_CSDM,-20,bubble 05 5000Hz .wav,2.870131,2.777778,2.277778
5000Hz_3,CBF,clean,bubble 06 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,clean,bubble 06 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,clean,bubble 06 5000Hz .wav,2.648229,0.222222,0.361111
5000Hz_3,MUSIC_CSDM,clean,bubble 06 5000Hz .wav,0.472222,0.000000,2.527778
5000Hz_3,CBF,20,bubble 06 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,20,bubble 06 5000Hz .wav,0.222222,0.000000,2.777778
5000Hz_3,MUSIC,20,bubble 06 5000Hz .wav,2.751262,0.083333,0.250000
5000Hz_3,MUSIC_CSDM,20,bubble 06 5000Hz .wav,0.277778,0.000000,2.722222
5000Hz_3,CBF,15,bubble 06 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,15,bubble 06 5000Hz .wav,0.222222,0.000000,2.777778
5000Hz_3,MUSIC,15,bubble 06 5000Hz .wav,2.195148,0.055556,5.194444
5000Hz_3,MUSIC_CSDM,15,bubble 06 5000Hz .wav,2.503855,0.750000,0.611111
5000Hz_3,CBF,10,bubble 06 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,10,bubble 06 5000Hz .wav,0.223952,0.027778,2.777778
5000Hz_3,MUSIC,10,bubble 06 5000Hz .wav,0.295282,0.194444,2.777778
5000Hz_3,MUSIC_CSDM,10,bubble 06 5000Hz .wav,0.955814,0.555556,2.222222
5000Hz_3,CBF,5,bubble 06 5000Hz .wav,0.611111,0.000000,3.611111
5000Hz_3,MVDR,5,bubble 06 5000Hz .wav,1.259838,0.305556,1.777778
5000Hz_3,MUSIC,5,bubble 06 5000Hz .wav,2.181042,1.583333,4.500000
5000Hz_3,MUSIC_CSDM,5,bubble 06 5000Hz .wav,1.259838,0.305556,1.777778
5000Hz_3,CBF,0,bubble 06 5000Hz .wav,2.941823,0.555556,0.111111
5000Hz_3,MVDR,0,bubble 06 5000Hz .wav,2.779027,0.083333,0.222222
5000Hz_3,MUSIC,0,bubble 06 5000Hz .wav,2.032339,-0.361111,1.000000
5000Hz_3,MUSIC_CSDM,0,bubble 06 5000Hz .wav,2.779027,0.083333,0.222222
5000Hz_3,CBF,-5,bubble 06 5000Hz .wav,1.705565,1.361111,1.972222
5000Hz_3,MVDR,-5,bubble 06 5000Hz .wav,0.100154,0.083333,3.055556
5000Hz_3,MUSIC,-5,bubble 06 5000Hz .wav,2.656520,-0.972222,0.527778
5000Hz_3,MUSIC_CSDM,-5,bubble 06 5000Hz .wav,0.100154,0.083333,3.055556
5000Hz_3,CBF,-10,bubble 06 5000Hz .wav,2.653468,-0.277778,0.361111
5000Hz_3,MVDR,-10,bubble 06 5000Hz .wav,1.547599,-1.444444,2.444444
5000Hz_3,MUSIC,-10,bubble 06 5000Hz .wav,2.639327,1.722222,1.000000
5000Hz_3,MUSIC_CSDM,-10,bubble 06 5000Hz .wav,1.547599,-1.444444,2.444444
5000Hz_3,CBF,-15,bubble 06 5000Hz .wav,3.658661,-2.722222,0.555556
5000Hz_3,MVDR,-15,bubble 06 5000Hz .wav,1.305851,1.305556,2.972222
5000Hz_3,MUSIC,-15,bubble 06 5000Hz .wav,2.515385,0.277778,0.500000
5000Hz_3,MUSIC_CSDM,-15,bubble 06 5000Hz .wav,1.305851,1.305556,2.972222
5000Hz_3,CBF,-20,bubble 06 5000Hz .wav,1.495879,-0.777778,1.722222
5000Hz_3,MVDR,-20,bubble 06 5000Hz .wav,2.363724,0.805556,5.222222
5000Hz_3,MUSIC,-20,bubble 06 5000Hz .wav,2.396306,1.361111,1.027778
5000Hz_3,MUSIC_CSDM,-20,bubble 06 5000Hz .wav,2.363724,0.805556,5.222222
5000Hz_3,CBF,clean,bubble 07 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,clean,bubble 07 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,clean,bubble 07 5000Hz .wav,2.709152,2.388889,4.277778
5000Hz_3,MUSIC_CSDM,clean,bubble 07 5000Hz .wav,0.639492,0.027778,2.361111
5000Hz_3,CBF,20,bubble 07 5000Hz .wav,0.611111,0.000000,3.611111
5000Hz_3,MVDR,20,bubble 07 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,20,bubble 07 5000Hz .wav,2.501389,-2.166667,1.750000
5000Hz_3,MUSIC_CSDM,20,bubble 07 5000Hz .wav,2.685121,1.111111,0.555556
5000Hz_3,CBF,15,bubble 07 5000Hz .wav,0.611111,0.000000,3.611111
5000Hz_3,MVDR,15,bubble 07 5000Hz .wav,0.168966,0.027778,2.833333
5000Hz_3,MUSIC,15,bubble 07 5000Hz .wav,1.790967,-0.722222,1.361111
5000Hz_3,MUSIC_CSDM,15,bubble 07 5000Hz .wav,0.738074,0.694444,2.750000
5000Hz_3,CBF,10,bubble 07 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,10,bubble 07 5000Hz .wav,0.764268,0.722222,3.250000
5000Hz_3,MUSIC,10,bubble 07 5000Hz .wav,2.939330,2.527778,1.500000
5000Hz_3,MUSIC_CSDM,10,bubble 07 5000Hz .wav,0.764268,0.722222,3.250000
5000Hz_3,CBF,5,bubble 07 5000Hz .wav,0.611111,0.000000,3.611111
5000Hz_3,MVDR,5,bubble 07 5000Hz .wav,0.388889,0.000000,2.611111
5000Hz_3,MUSIC,5,bubble 07 5000Hz .wav,2.641081,-2.444444,2.000000
5000Hz_3,MUSIC_CSDM,5,bubble 07 5000Hz .wav,1.751983,-0.750000,1.416667
5000Hz_3,CBF,0,bubble 07 5000Hz .wav,2.941823,0.555556,0.111111
5000Hz_3,MVDR,0,bubble 07 5000Hz .wav,3.046071,2.083333,0.777778
5000Hz_3,MUSIC,0,bubble 07 5000Hz .wav,1.435066,0.972222,1.944444
5000Hz_3,MUSIC_CSDM,0,bubble 07 5000Hz .wav,3.046071,2.083333,0.777778
5000Hz_3,CBF,-5,bubble 07 5000Hz .wav,0.807469,0.055556,3.805556
5000Hz_3,MVDR,-5,bubble 07 5000Hz .wav,2.580943,-0.361111,0.444444
5000Hz_3,MUSIC,-5,bubble 07 5000Hz .wav,1.653886,1.638889,3.222222
5000Hz_3,MUSIC_CSDM,-5,bubble 07 5000Hz .wav,2.580943,-0.361111,0.444444
5000Hz_3,CBF,-10,bubble 07 5000Hz .wav,2.892226,-0.805556,0.222222
5000Hz_3,MVDR,-10,bubble 07 5000Hz .wav,2.703593,-0.222222,0.305556
5000Hz_3,MUSIC,-10,bubble 07 5000Hz .wav,3.372227,2.694444,0.972222
5000Hz_3,MUSIC_CSDM,-10,bubble 07 5000Hz .wav,2.703593,-0.222222,0.305556
5000Hz_3,CBF,-15,bubble 07 5000Hz .wav,1.476409,0.305556,1.555556
5000Hz_3,MVDR,-15,bubble 07 5000Hz .wav,2.028539,-0.055556,5.027778
5000Hz_3,MUSIC,-15,bubble 07 5000Hz .wav,2.945623,1.055556,0.250000
5000Hz_3,MUSIC_CSDM,-15,bubble 07 5000Hz .wav,2.028539,-0.055556,5.027778
5000Hz_3,CBF,-20,bubble 07 5000Hz .wav,1.482407,0.333333,1.555556
5000Hz_3,MVDR,-20,bubble 07 5000Hz .wav,2.617899,-0.861111,0.527778
5000Hz_3,MUSIC,-20,bubble 07 5000Hz .wav,2.592874,-2.583333,3.222222
5000Hz_3,MUSIC_CSDM,-20,bubble 07 5000Hz .wav,2.617899,-0.861111,0.527778
5000Hz_3,CBF,clean,bubble 08 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,clean,bubble 08 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,clean,bubble 08 5000Hz .wav,1.028153,0.027778,4.027778
5000Hz_3,MUSIC_CSDM,clean,bubble 08 5000Hz .wav,0.444444,0.000000,2.555556
5000Hz_3,CBF,20,bubble 08 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,20,bubble 08 5000Hz .wav,0.222222,0.000000,2.777778
5000Hz_3,MUSIC,20,bubble 08 5000Hz .wav,1.918477,0.083333,1.083333
5000Hz_3,MUSIC_CSDM,20,bubble 08 5000Hz .wav,0.305556,0.000000,2.694444
5000Hz_3,CBF,15,bubble 08 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,15,bubble 08 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,15,bubble 08 5000Hz .wav,2.877381,0.638889,0.194444
5000Hz_3,MUSIC_CSDM,15,bubble 08 5000Hz .wav,2.211955,-1.805556,4.277778
5000Hz_3,CBF,10,bubble 08 5000Hz .wav,0.611111,0.000000,3.611111
