algorithm,signal_type,distance_m,sample_id,error_m,est_x_m,est_y_m,freq_band_Hz
MUSIC,projector,2,bubble 19 1000Hz .wav,1.929506,-1.666667,2.972222,1000-12000
MUSIC_CSDM,projector,2,bubble 19 1000Hz .wav,1.920086,-0.472222,0.138889,1000-12000
CBF,projector,2,bubble 20 1000Hz .wav,1.152359,1.111111,1.694444,1000-12000
MVDR,projector,2,bubble 20 1000Hz .wav,2.083333,-0.583333,0.000000,1000-12000
MUSIC,projector,2,bubble 20 1000Hz .wav,1.554067,1.416667,2.638889,1000-12000
MUSIC_CSDM,projector,2,bubble 20 1000Hz .wav,1.172275,-0.944444,2.694444,1000-12000
CBF,projector,3,Amplitude_observation.wav,1.274452,-0.361111,1.777778,1000-12000
MVDR,projector,3,Amplitude_observation.wav,2.137265,-2.111111,3.333333,1000-12000
MUSIC,projector,3,Amplitude_observation.wav,2.028539,-0.055556,0.972222,1000-12000
MUSIC_CSDM,projector,3,Amplitude_observation.wav,0.111111,0.000000,2.888889,1000-12000
CBF,projector,3,bubble 01 1000Hz .wav,1.106239,-0.527778,2.027778,1000-12000
MVDR,projector,3,bubble 01 1000Hz .wav,1.968894,-1.888889,2.444444,1000-12000
MUSIC,projector,3,bubble 01 1000Hz .wav,0.251538,-0.027778,3.250000,1000-12000
MUSIC_CSDM,projector,3,bubble 01 1000Hz .wav,3.218868,1.166667,0.000000,1000-12000
CBF,projector,3,bubble 02 1000Hz .wav,1.045641,-0.666667,2.194444,1000-12000
MVDR,projector,3,bubble 02 1000Hz .wav,1.751763,-1.694444,2.555556,1000-12000
MUSIC,projector,3,bubble 02 1000Hz .wav,2.947718,-0.138889,0.055556,1000-12000
MUSIC_CSDM,projector,3,bubble 02 1000Hz .wav,2.733678,-2.472222,1.833333,1000-12000
CBF,projector,3,bubble 03 1000Hz .wav,1.142947,-0.500000,1.972222,1000-12000
MVDR,projector,3,bubble 03 1000Hz .wav,2.061553,-2.000000,2.500000,1000-12000
MUSIC,projector,3,bubble 03 1000Hz .wav,1.926505,-0.194444,1.083333,1000-12000
MUSIC_CSDM,projector,3,bubble 03 1000Hz .wav,1.711436,-1.666667,3.388889,1000-12000
CBF,projector,3,bubble 04 1000Hz .wav,1.078694,-0.611111,2.111111,1000-12000
MVDR,projector,3,bubble 04 1000Hz .wav,1.854466,-1.777778,2.472222,1000-12000
MUSIC,projector,3,bubble 04 1000Hz .wav,1.961237,-1.888889,2.472222,1000-12000
MUSIC_CSDM,projector,3,bubble 04 1000Hz .wav,2.663337,1.333333,5.305556,1000-12000
