condition,algorithm,snr_db,n,mean_err_m,std_err_m,median_err_m,success_rate_le_0.5m
1000Hz_1,MVDR,-20,20,1.5803,0.8537,1.4022,0.000
1000Hz_1,MUSIC,clean,20,1.5664,1.0827,1.2979,0.100
1000Hz_1,MUSIC,20,20,1.8009,1.2545,1.6804,0.150
1000Hz_1,MUSIC,15,20,1.6579,0.9753,1.4463,0.100
1000Hz_1,MUSIC,10,20,1.9054,0.9794,1.8597,0.000
1000Hz_1,MUSIC,5,20,1.7323,1.0081,1.3046,0.050
1000Hz_1,MUSIC,0,20,1.7352,1.0589,1.5614,0.100
1000Hz_1,MUSIC,-5,20,1.7248,1.0420,1.6756,0.100
1000Hz_1,MUSIC,-10,20,1.6503,0.8798,1.3528,0.050
1000Hz_1,MUSIC,-15,20,1.8225,1.0998,1.6317,0.100
1000Hz_1,MUSIC,-20,20,1.7139,1.2338,1.2718,0.050
1000Hz_1,MUSIC_CSDM,clean,20,1.5055,1.1674,0.9982,0.200
1000Hz_1,MUSIC_CSDM,20,20,1.1730,0.9067,0.8887,0.300
1000Hz_1,MUSIC_CSDM,15,20,1.3463,1.1221,0.9918,0.200
1000Hz_1,MUSIC_CSDM,10,20,1.5761,1.0327,1.2836,0.100
1000Hz_1,MUSIC_CSDM,5,20,1.5370,1.0942,0.8943,0.100
1000Hz_1,MUSIC_CSDM,0,20,1.4578,0.9579,1.3008,0.100
1000Hz_1,MUSIC_CSDM,-5,20,1.0988,0.7193,0.8274,0.250
1000Hz_1,MUSIC_CSDM,-10,20,1.3430,0.9241,1.1468,0.300
1000Hz_1,MUSIC_CSDM,-15,20,1.5291,0.8755,1.4235,0.000
1000Hz_1,MUSIC_CSDM,-20,20,1.5859,0.9529,1.2554,0.050
11000Hz_1,CBF,clean,20,2.8370,0.0024,2.8384,0.000
11000Hz_1,CBF,20,20,2.7784,0.2561,2.8384,0.000
11000Hz_1,CBF,15,20,2.8367,0.0026,2.8384,0.000
11000Hz_1,CBF,10,20,2.4402,0.6359,2.8384,0.000
11000Hz_1,CBF,5,20,2.3696,0.5699,2.8356,0.000
11000Hz_1,CBF,0,20,1.9164,0.9347,1.7471,0.050
11000Hz_1,CBF,-5,20,1.7342,0.9978,1.5130,0.100
11000Hz_1,CBF,-10,20,1.6452,1.1831,1.2372,0.100
11000Hz_1,CBF,-15,20,1.6520,1.0728,1.2434,0.050
11000Hz_1,CBF,-20,20,1.2702,0.9933,1.0118,0.200
11000Hz_1,MVDR,clean,20,0.1416,0.0000,0.1416,1.000
11000Hz_1,MVDR,20,20,0.1416,0.0000,0.1416,1.000
11000Hz_1,MVDR,15,20,0.1416,0.0000,0.1416,1.000
11000Hz_1,MVDR,10,20,0.1444,0.0082,0.1416,1.000
11000Hz_1,MVDR,5,20,0.5703,1.2816,0.1416,0.900
11000Hz_1,MVDR,0,20,0.7892,1.1076,0.1690,0.700
11000Hz_1,MVDR,-5,20,1.9767,1.5873,1.2965,0.100
11000Hz_1,MVDR,-10,20,1.8289,1.2011,1.4605,0.050
11000Hz_1,MVDR,-15,20,1.4296,1.1921,1.0367,0.100
11000Hz_1,MVDR,-20,20,1.3332,0.8249,1.1344,0.150
11000Hz_1,MUSIC,clean,20,1.3989,0.9305,1.4221,0.150
11000Hz_1,MUSIC,20,20,1.5536,0.9649,1.2493,0.050
11000Hz_1,MUSIC,15,20,1.4488,0.8454,1.3960,0.100
11000Hz_1,MUSIC,10,20,1.5546,0.8269,1.4760,0.100
11000Hz_1,MUSIC,5,20,1.8792,1.1683,1.5730,0.150
11000Hz_1,MUSIC,0,20,1.8188,0.8063,2.0020,0.100
11000Hz_1,MUSIC,-5,20,1.5375,0.7919,1.4970,0.100
11000Hz_1,MUSIC,-10,20,1.9246,1.1921,1.6485,0.000
11000Hz_1,MUSIC,-15,20,1.6378,1.0832,1.2934,0.050
11000Hz_1,MUSIC,-20,20,2.0660,1.4618,1.9117,0.150
11000Hz_1,MUSIC_CSDM,clean,20,2.0709,2.1488,0.1690,0.550
11000Hz_1,MUSIC_CSDM,20,20,1.4315,1.6480,0.7396,0.450
11000Hz_1,MUSIC_CSDM,15,20,1.4641,1.8237,0.4873,0.500
11000Hz_1,MUSIC_CSDM,10,20,2.1762,1.8331,1.3240,0.250
11000Hz_1,MUSIC_CSDM,5,20,1.8390,1.6723,1.2336,0.250
11000Hz_1,MUSIC_CSDM,0,20,1.2818,0.9761,0.9399,0.350
11000Hz_1,MUSIC_CSDM,-5,20,1.9798,1.5533,1.4654,0.100
11000Hz_1,MUSIC_CSDM,-10,20,1.7175,1.1057,1.3138,0.050
11000Hz_1,MUSIC_CSDM,-15,20,1.4916,1.1788,1.0549,0.100
11000Hz_1,MUSIC_CSDM,-20,20,1.3332,0.8249,1.1344,0.150
